,index,id,franchiseId,fullName,leagueId,rawTricode,triCode
0,26,17,12.0,Detroit Red Wings,133,DET,DET
1,27,6,6.0,Boston Bruins,133,BOS,BOS
2,28,5,17.0,Pittsburgh Penguins,133,PIT,PIT
3,29,14,31.0,Tampa Bay Lightning,133,TBL,TBL
4,30,4,16.0,Philadelphia Flyers,133,PHI,PHI
5,31,12,26.0,Carolina Hurricanes,133,CAR,CAR
6,32,20,21.0,Calgary Flames,133,CGY,CGY
7,33,8,1.0,Montréal Canadiens,133,MTL,MTL
8,34,15,24.0,Washington Capitals,133,WSH,WSH
9,35,23,20.0,Vancouver Canucks,133,VAN,VAN
10,36,21,27.0,Colorado Avalanche,133,COL,COL
11,37,18,34.0,Nashville Predators,133,NSH,NSH
12,38,24,32.0,Anaheim Ducks,133,ANA,ANA
13,39,54,38.0,Vegas Golden Knights,133,VGK,VGK
14,40,25,15.0,Dallas Stars,133,DAL,DAL
15,42,16,11.0,Chicago Blackhawks,133,CHI,CHI
16,43,3,10.0,New York Rangers,133,NYR,NYR
17,44,13,33.0,Florida Panthers,133,FLA,FLA
18,45,22,25.0,Edmonton Oilers,133,EDM,EDM
19,46,30,37.0,Minnesota Wild,133,MIN,MIN
20,47,19,18.0,St. Louis Blues,133,STL,STL
21,48,2,22.0,New York Islanders,133,NYI,NYI
22,49,26,14.0,Los Angeles Kings,133,LAK,LAK
23,51,7,19.0,Buffalo Sabres,133,BUF,BUF
24,52,9,30.0,Ottawa Senators,133,OTT,OTT
25,53,10,5.0,Toronto Maple Leafs,133,TOR,TOR
26,54,1,23.0,New Jersey Devils,133,NJD,NJD
27,55,52,35.0,Winnipeg Jets,133,WPG,WPG
28,56,55,39.0,Seattle Kraken,133,SEA,SEA
29,57,28,29.0,San Jose Sharks,133,SJS,SJS
30,58,53,28.0,Arizona Coyotes,133,ARI,ARI
31,59,29,36.0,Columbus Blue Jackets,133,CBJ,CBJ
32,60,59,40.0,Utah Hockey Club,133,UTA,UTA
